Reviewed	Classification	Entry	Title	PDB chain IDs
FALSE	4.4	P62871	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 OS=Bos taurus OX=9913 GN=GNB1 PE=1 SV=3	1a0rB,1b9xA,1b9yA,1gg2B,1gotB,1gp2B,1omwB,1tbgA,1tbgB,1tbgC,1tbgD,1xhmA,2bcjB,2trcB,3ah8B,3cikB,3krwB,3krxB,3pscB,3pvuB,3pvwB,3uzsB,3v5wB,4mk0B,5kdoB,5wg3B,5wg4B,5wg5B,6b20A,6b20B,6c2yB,6oy9B,6oyaB,6pcvB,6qnoB,6u7cB,7bz2B
FALSE	4.2	P22340	Sucrose porin OS=Salmonella typhimurium OX=90371 GN=scrY PE=1 SV=1	1a0sP,1a0sQ,1a0sR,1a0tP,1a0tQ,1a0tR,1oh2P,1oh2Q,1oh2R
FALSE	4.2	P04117	Fatty acid-binding protein, adipocyte OS=Mus musculus OX=10090 GN=Fabp4 PE=1 SV=3	1a18A,1a2dA,1a2dB,1ab0A,1acdA,1adlA,1albA,1g74A,1g7nA,1libA,1licA,1lidA,1lieA,1lifA,2ansA,2ansB,2q9sA,2qm9A,2qm9B,3hk1A,3js1A,3js1B,3jsqA,5c0nA,5c0nB,5d8jA
FALSE	4.4	P18754	Regulator of chromosome condensation OS=Homo sapiens OX=9606 GN=RCC1 PE=1 SV=1	1a12A,1a12B,1a12C,1i2mB,1i2mD,5e1bD,5e1bE,5e1dD,5e1dE,5e1mD,5e1mE,5e1oD,5e1oE,5e2aD,5e2aE,5e2bD,5e2bE,5tbkI,5tbkJ,5tbkK,5tbkL,5tbkM,5tbkN,5tbkO,5tbkP,6dubE,6dubF
FALSE	3.3,4.1	P53041	Serine/threonine-protein phosphatase 5 OS=Homo sapiens OX=9606 GN=PPP5C PE=1 SV=1	1a17A,1s95A,1s95B,1wao1,1wao2,1wao3,1wao4,2bugA,3h60A,3h60B,3h61A,3h61D,3h62B,3h62C,3h63A,3h63C,3h64A,3h64D,3h66A,3h66B,3h67A,3h67D,3h68A,3h68D,3h69A,3h69D,4zvzA,4zvzB,4zvzC,4zvzD,4zx2A,5ui1A,5ui1B,5ui1C,5ui1D,5wg8A
FALSE	4.5	P0A749	UDP-N-acetylglucosamine 1-carboxyvinyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=murA PE=1 SV=1	1a2nA,1uaeA,2z2cA,2z2cB,2z2cC,2z2cD,3issA,3issB,3issC,3issD,3issE,3issF,3issG,3issH,3issI,3issJ,3issK,3issL,3kqjA,3kr6A,3swdA,3swdB,3swdC,3swdD,3swdE,3swdF,3swdG,3swdH,3swdI,3swdJ,3swdK,3swdL
FALSE	5.3	P08046	Early growth response protein 1 OS=Mus musculus OX=10090 GN=Egr1 PE=1 SV=2	1a1fA,1a1gA,1a1hA,1a1iA,1a1jA,1a1kA,1a1lA,1aayA,1f2iG,1f2iH,1f2iI,1f2iJ,1f2iK,1f2iL,1g2dC,1g2dF,1g2fC,1g2fF,1jk1A,1jk2A,1p47A,1p47B,1zaaC
FALSE	4.1	O85465	Endoglucanase 5A OS=Salipaludibacillus agaradhaerens OX=76935 GN=cel5A PE=1 SV=1	1a3hA,1e5jA,1h11A,1h2jA,1h5vA,1hf6A,1ocqA,1qhzA,1qi0A,1qi2A,1w3kA,1w3lA,2a3hA,2v38A,3a3hA,4a3hA,5a3hA,6a3hA,7a3hA,8a3hA
TRUE	4.2	P81245	Odorant-binding protein OS=Sus scrofa OX=9823 PE=1 SV=1	1a3yA,1a3yB,1dzjA,1dzjB,1dzkA,1dzkB,1dzmA,1dzmB,1dzpA,1dzpB,1e00A,1e00B,1e02A,1e02B,1e06A,1e06B,1hqpA
FALSE	4.4	P27907	Neuraminidase OS=Influenza B virus (strain B/Beijing/1/1987) OX=11525 GN=NA PE=1 SV=1	1a4gA,1a4gB,1a4qA,1a4qB,1nsbA,1nsbB,1nscA,1nscB,1nsdA,1nsdB
FALSE	3.3	P63103	14-3-3 protein zeta/delta OS=Bos taurus OX=9913 GN=YWHAZ PE=1 SV=1	1a37A,1a37B,1a38A,1a38B,1a4oA,1a4oB,1a4oC,1a4oD,2v7dA,2v7dB,2v7dC,2v7dD
FALSE	4.1	Q06121	Indole-3-glycerol phosphate synthase OS=Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) OX=273057 GN=trpC PE=1 SV=1	1a53A,1igsA,1jukA,1julA,1lbfA,1lblA,2c3zA,3nyzA,3nyzB,3nz1A,3tc6A,3tc7A,4a29A,4a2rA,4a2sA,4iwwA,4iwwB,4ix0A,4lnyA,4ou1A,5an7A,5aouA,5k7jA,5k7jB,6nw4A
TRUE	3.2	P13489	Ribonuclease inhibitor OS=Homo sapiens OX=9606 GN=RNH1 PE=1 SV=2	1a4yA,1a4yD,1z7xW,1z7xY,2bexA,2bexB,2q4gW,2q4gY
FALSE	4.2	P20436	DNA-directed RNA polymerases I, II, and III subunit RPABC3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPB8 PE=1 SV=1	1a1dA,1i3qH,1i50H,1i6hH,1k83H,1nikH,1nt9H,1pqvH,1r5uH,1r9sH,1r9tH,1sfoH,1twaH,1twcH,1twfH,1twgH,1twhH,1wcmH,1y1vH,1y1wH,1y1yH,1y77H,2b63H,2b8kH,2e2hH,2e2iH,2e2jH,2ja5H,2ja6H,2ja7H,2ja7T,2ja8H,2nvqH,2nvtH,2nvxH,2nvyH,2nvzH,2r7zH,2r92H,2r93H,2vumH,2yu9H,3cqzH,3fkiH,3gtgH,3gtjH,3gtkH,3gtlH,3gtmH,3gtoH,3gtpH,3gtqH,3h3vI,3houH,3houT,3hovH,3howH,3hoxH,3hoyH,3hozH,3i4mH,3i4nH,3j0kH,3j1nH,3k1fH,3k7aH,3m3yH,3m4oH,3po2H,3po3H,3qt1H,3rzdH,3rzoH,3s14H,3s15H,3s16H,3s17H,3s1mH,3s1nH,3s1qH,3s1rH,3s2dH,3s2hH,4a3bH,4a3cH,4a3dH,4a3eH,4a3fH,4a3gH,4a3iH,4a3jH,4a3kH,4a3lH,4a3mH,4a93H,4bbrH,4bbsH,4bxxH,4bxzH,4by1H,4by7H,4c2mH,4c2mW,4c3hH,4c3iH,4c3jH,4v1mH,4v1nH,4v1oH,4x67H,4x6aH,4y52H,4y7nH,4ym7AH,4ym7BH,4ym7CH,4ym7DH,4ym7EH,4ym7FH,5c3eH,5c44H,5c4aH,5c4jH,5c4xH,5fj8H,5fj9H,5fjaH,5fmfH,5fywH,5fz5H,5g5lH,5ip7H,5ip9H,5lmxH,5m3fH,5m3mH,5m5wH,5m5xH,5m5yH,5m64H,5n5yH,5n5zH,5n60H,5n61H,5oa1H,5oqjH,5oqmH,5ot2H,5svaH,5u5qH,5vvrH,5vvsH,5w4uH,5w51H,5w5yH,5w64H,5w65H,5w66H,6bloH,6blpH,6bm2H,6bm4H,6bqfH,6cnbH,6cncH,6cndH,6cnfH,6eu0H,6eu1H,6eu2H,6eu3H,6f40H,6f41H,6f42H,6f44H,6gykH,6gylH,6gymH,6h67H,6h68H,6hkoH,6hlqH,6hlrH,6hlsH,6i84H,6o6cF,6rqhH,6rqlH,6rqtH,6rrdH,6ruiH,6ruoH,6rweH,6tpsH,6tutH,6upxH,6upyH,6upzH,6uq0H,6uq1H,6uq2H,6uq3H
FALSE	4.2,4.4	P02693	Fatty acid-binding protein, intestinal OS=Rattus norvegicus OX=10116 GN=Fabp2 PE=1 SV=4	1a57A,1aelA,1dc9A,1icmA,1icnA,1ifbA,1ifcA,1sa8A,1t8vA,1ureA,2ifbA,3aknA
