Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Allergenic properties	Biotechnological use	Involvement in disease	Disruption phenotype	Mutagenesis	Cross-reference (IntAct)	Cross-reference (STRING)	Cross-reference (PDB)
P62871	GBB1_BOVIN	reviewed	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 (Transducin beta chain 1)	GNB1	Bos taurus (Bovine)	340						P62871;	9913.ENSBTAP00000042481;	1A0R;1B9X;1B9Y;1GG2;1GOT;1GP2;1OMW;1TBG;1XHM;2BCJ;2TRC;3AH8;3CIK;3KRW;3KRX;3PSC;3PVU;3PVW;3UZS;3V5W;4MK0;5KDO;5WG3;5WG4;5WG5;6B20;6C2Y;6OY9;6OYA;6PCV;6QNO;6U7C;7BZ2;7D68;7DHI;7DHR;7JJO;7O7F;
P22340	SCRY_SALTM	reviewed	Sucrose porin	scrY	Salmonella typhimurium	505								1A0S;1A0T;1OH2;
P04117	FABP4_MOUSE	reviewed	Fatty acid-binding protein, adipocyte (3T3-L1 lipid-binding protein) (Adipocyte lipid-binding protein) (ALBP) (Adipocyte-type fatty acid-binding protein) (A-FABP) (AFABP) (Fatty acid-binding protein 4) (Myelin P2 protein homolog) (P15) (P2 adipocyte protein) (Protein 422)	Fabp4 Ap2	Mus musculus (Mouse)	132					"MUTAGEN 22;  /note=""K->A: Abolishes ligand-induced translocation to the nucleus; when associated with A-31 and A-32."";  /evidence=""ECO:0000269|PubMed:17516629""; MUTAGEN 31;  /note=""R->A: Abolishes ligand-induced translocation to the nucleus; when associated with A-22 and A-32."";  /evidence=""ECO:0000269|PubMed:17516629""; MUTAGEN 32;  /note=""K->A: Abolishes ligand-induced translocation to the nucleus; when associated with A-22 and A-31."";  /evidence=""ECO:0000269|PubMed:17516629""; MUTAGEN 58;  /note=""F->A: Abolishes ligand-induced translocation to the nucleus."";  /evidence=""ECO:0000269|PubMed:17761196""; MUTAGEN 67;  /note=""L->A: Abolishes export from nucleus; when associated with A-87 and A-92."";  /evidence=""ECO:0000269|PubMed:17516629, ECO:0000269|PubMed:17761196""; MUTAGEN 87;  /note=""L->A: Abolishes export from nucleus; when associated with A-67 and A-92."";  /evidence=""ECO:0000269|PubMed:17516629, ECO:0000269|PubMed:17761196""; MUTAGEN 92;  /note=""L->A: Abolishes export from nucleus; when associated with A-67 and A-87."";  /evidence=""ECO:0000269|PubMed:17516629, ECO:0000269|PubMed:17761196"""		10090.ENSMUSP00000029041;	1A18;1A2D;1AB0;1ACD;1ADL;1ALB;1G74;1G7N;1LIB;1LIC;1LID;1LIE;1LIF;2ANS;2Q9S;2QM9;3HK1;3JS1;3JSQ;5C0N;5D8J;
P18754	RCC1_HUMAN	reviewed	Regulator of chromosome condensation (Cell cycle regulatory protein) (Chromosome condensation protein 1)	RCC1 CHC1	Homo sapiens (Human)	421					"MUTAGEN 2;  /note=""S->A: Does not abolish N-terminal methylation."";  /evidence=""ECO:0000269|PubMed:17435751""; MUTAGEN 2;  /note=""S->Q: Does not abolish N-terminal methylation."";  /evidence=""ECO:0000269|PubMed:17435751""; MUTAGEN 3;  /note=""P->Q: Abolishes N-terminal methylation."";  /evidence=""ECO:0000269|PubMed:17435751""; MUTAGEN 4;  /note=""K->Q: Abolishes N-terminal methylation."";  /evidence=""ECO:0000269|PubMed:17435751, ECO:0000269|PubMed:20668449""; MUTAGEN 4;  /note=""K->R: Strongly impairs N-terminal methylation and subcellular localization."";  /evidence=""ECO:0000269|PubMed:17435751, ECO:0000269|PubMed:20668449""; MUTAGEN 9;  /note=""R->A: Decreases KPNA4 binding. Strongly decreases KPNA4 binding; when associated with A-21."";  /evidence=""ECO:0000269|PubMed:29042532""; MUTAGEN 11;  /note=""S->E: Phosphomimetic mutant. Decreases KPNA4 binding by about 10%."";  /evidence=""ECO:0000269|PubMed:29042532""; MUTAGEN 21;  /note=""K->A: Decreases KPNA4 binding. Strongly decreases KPNA4 binding; when associated with A-9."";  /evidence=""ECO:0000269|PubMed:29042532""; MUTAGEN 182;  /note=""D->A: Abolishes interaction with Ran and impairs chromosome localization."";  /evidence=""ECO:0000269|PubMed:12194828, ECO:0000269|PubMed:17435751"""	P18754;	9606.ENSP00000362937;	1A12;1I2M;5E1B;5E1D;5E1M;5E1O;5E2A;5E2B;5TBK;6DUB;
P53041	PPP5_HUMAN	reviewed	Serine/threonine-protein phosphatase 5 (PP5) (EC 3.1.3.16) (Protein phosphatase T) (PP-T) (PPT)	PPP5C PPP5	Homo sapiens (Human)	499					"MUTAGEN 32;  /note=""K->A: Loss of interaction with HSP90AA1. No effect on interaction with S100A1, S100A2 and S100A6."";  /evidence=""ECO:0000269|PubMed:22399290""; MUTAGEN 74;  /note=""R->A: Loss of interaction with HSP90AA1. No effect on interaction with S100A1, S100A2 and S100A6."";  /evidence=""ECO:0000269|PubMed:22399290""; MUTAGEN 83;  /note=""G->N: No effect on interaction with HSP90AA1."";  /evidence=""ECO:0000269|PubMed:16531226""; MUTAGEN 93;  /note=""K->E: Decreases interaction with RAC1 and translocation to the membrane in presence of active RAC1."";  /evidence=""ECO:0000269|PubMed:19948726""; MUTAGEN 97;  /note=""K->A: Loss of interaction with HSP90AA1. No effect on interaction with S100A1, S100A2 and S100A6. Loss of interaction with RAF1."";  /evidence=""ECO:0000269|PubMed:16892053, ECO:0000269|PubMed:22399290""; MUTAGEN 101;  /note=""R->A: Loss of interaction with HSP90AA1. No effect on interaction with S100A1, S100A2 and S100A6."";  /evidence=""ECO:0000269|PubMed:22399290""; MUTAGEN 304;  /note=""H->Q: Catalytically inactive; no effect on interaction with CRY2 but increases the stability of the interaction with CSNK1E. No effect on RAF1 phosphorylation."";  /evidence=""ECO:0000269|PubMed:16790549, ECO:0000269|PubMed:16892053, ECO:0000269|PubMed:19948726"""	P53041;	9606.ENSP00000012443;	1A17;1S95;1WAO;2BUG;3H60;3H61;3H62;3H63;3H64;3H66;3H67;3H68;3H69;4ZVZ;4ZX2;5HPE;5UI1;5WG8;
P0A749	MURA_ECOLI	reviewed	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)	murA murZ b3189 JW3156	Escherichia coli (strain K12)	419						P0A749;	511145.b3189;	1A2N;1UAE;2Z2C;3ISS;3KQJ;3KR6;3SWD;
P08046	EGR1_MOUSE	reviewed	Early growth response protein 1 (EGR-1) (Nerve growth factor-induced protein A) (NGFI-A) (Transcription factor Zif268) (Zinc finger protein Krox-24)	Egr1 Egr-1 Krox-24	Mus musculus (Mouse)	533				DISRUPTION PHENOTYPE: Mice appear grossly normal, but females are anestrous and infertile with an uterus weight that is roughly 30% of that of wild-type. Ovaries contain normal numbers of follicles, but lack corpora lutea. Serum progesterone levels are strongly reduced; estradiol levels are normal. The level of luteinizing hormone (LHB) in the pituitary is strongly reduced in males and not detectable in females (PubMed:8703054). Responses to ischemia and hypoxia are blunted, leading to reduced tissue damage in response to ischemia and increased survival (PubMed:11100120). Liver regeneration is impaired after partial hepatectomy, due to impaired mitotic progress and reduced proliferation of hepatocytes (PubMed:15265859). Untreated mutant mice do not display an increased tendency to develop tumors, but develop tumors earlier than wild-type when treated first with a tumor initiator, and then with a tumor promoter (PubMed:15958557). Mice lack daily rhythmicity in the expression of the core-clock gene ARNTL/BMAL1 and display a reduced and altered locomotor activity and altered temperature regulation (PubMed:29138967). {ECO:0000269|PubMed:11100120, ECO:0000269|PubMed:15265859, ECO:0000269|PubMed:15958557, ECO:0000269|PubMed:29138967, ECO:0000269|PubMed:8703054}.		P08046;	10090.ENSMUSP00000069616;	1A1F;1A1G;1A1H;1A1I;1A1J;1A1K;1A1L;1AAY;1F2I;1G2D;1G2F;1JK1;1JK2;1LLM;1P47;1ZAA;
O85465	GUN5_SALAG	reviewed	Endoglucanase 5A (EC 3.2.1.4) (Alkaline cellulase) (Endo-1,4-beta-glucanase 5A)	cel5A	Salipaludibacillus agaradhaerens (Bacillus agaradhaerens)	400								1A3H;1E5J;1H11;1H2J;1H5V;1HF6;1OCQ;1QHZ;1QI0;1QI2;1W3K;1W3L;2A3H;2V38;3A3H;4A3H;5A3H;6A3H;7A3H;8A3H;
P81245	OBP_PIG	reviewed	Odorant-binding protein (OBP)		Sus scrofa (Pig)	157							9823.ENSSSCP00000030644;	1A3Y;1DZJ;1DZK;1DZM;1DZP;1E00;1E02;1E06;1HQP;
P27907	NRAM_INBBE	reviewed	Neuraminidase (EC 3.2.1.18)		Influenza B virus (strain B/Beijing/1/1987)	465								1A4G;1A4Q;1NSB;1NSC;1NSD;
